Data do Jogo,Advers√°rio,V/D,Casa/Fora,PTS,REB,AST,Placar do Jogo,Tentativas de Cestas de 3,Cestas de 3 PTS Marcados,Tempo em Quadra,Player_Name,Season
2025-02-08,OKC,L,Casa,20.0,9.0,5.0,20.0 - ?,7.0,3.0,36.0,Desmond Bane,2024-25
2025-02-02,MIL,W,Fora,22.0,9.0,3.0,22.0 - ?,3.0,1.0,29.0,Desmond Bane,2024-25
2025-01-30,HOU,W,Casa,24.0,11.5,6.0,24.0 - ?,2.0,0.0,40.0,Desmond Bane,2024-25
2025-01-27,NYK,L,Fora,16.0,3.0,4.0,16.0 - ?,4.0,2.0,30.0,Desmond Bane,2024-25
2025-01-25,UTA,W,Casa,17.0,9.0,6.0,17.0 - ?,3.0,2.0,29.0,Desmond Bane,2024-25
2025-01-24,NOP,W,Casa,20.0,0.0,11.5,20.0 - ?,7.0,2.0,34.0,Desmond Bane,2024-25
2025-01-22,CHA,W,Casa,24.0,2.0,8.0,24.0 - ?,7.0,4.0,34.0,Desmond Bane,2024-25
2025-01-20,MIN,W,Casa,22.0,6.0,5.0,22.0 - ?,6.0,4.0,37.0,Desmond Bane,2024-25
2025-01-17,SAS,W,Fora,22.0,6.0,11.5,22.0 - ?,6.0,2.0,33.0,Desmond Bane,2024-25
2025-01-15,SAS,W,Fora,21.0,3.0,2.0,21.0 - ?,4.0,2.0,33.0,Desmond Bane,2024-25
2025-01-13,HOU,L,Fora,25.0,3.0,2.0,25.0 - ?,5.0,4.0,34.0,Desmond Bane,2024-25
2025-01-11,MIN,W,Fora,21.0,5.0,5.0,21.0 - ?,8.0,4.0,32.0,Desmond Bane,2024-25
2025-01-09,HOU,L,Casa,16.0,4.0,4.0,16.0 - ?,5.0,2.0,27.0,Desmond Bane,2024-25
2025-01-04,GSW,L,Fora,22.0,4.0,10.0,22.0 - ?,8.0,2.0,35.0,Desmond Bane,2024-25
2025-01-03,SAC,L,Fora,22.0,7.0,8.0,22.0 - ?,4.0,0.0,35.0,Desmond Bane,2024-25
2024-12-31,PHX,W,Fora,31.0,5.0,7.0,31.0 - ?,8.0,4.0,37.0,Desmond Bane,2024-25
2024-12-29,OKC,L,Fora,22.0,9.0,4.0,22.0 - ?,8.0,3.0,29.0,Desmond Bane,2024-25
2024-12-27,NOP,W,Fora,18.0,4.0,8.0,18.0 - ?,6.0,2.0,32.0,Desmond Bane,2024-25
2024-12-26,TOR,W,Casa,19.0,5.0,2.0,19.0 - ?,6.0,3.0,23.0,Desmond Bane,2024-25
2024-12-23,LAC,L,Casa,21.0,9.0,7.0,21.0 - ?,7.0,3.0,32.0,Desmond Bane,2024-25
2024-12-21,ATL,W,Fora,23.0,5.0,8.0,23.0 - ?,8.0,4.0,27.0,Desmond Bane,2024-25
2024-12-19,GSW,W,Casa,15.0,4.0,7.0,15.0 - ?,5.0,3.0,24.0,Desmond Bane,2024-25
2024-12-15,LAL,L,Fora,7.0,7.0,7.0,7.0 - ?,2.0,0.0,28.0,Desmond Bane,2024-25
2024-12-13,BKN,W,Casa,21.0,4.0,8.0,21.0 - ?,6.0,2.0,28.0,Desmond Bane,2024-25
2024-12-07,BOS,W,Fora,14.0,2.0,4.0,14.0 - ?,5.0,2.0,33.0,Desmond Bane,2024-25
2024-12-05,SAC,W,Casa,18.0,8.0,7.0,18.0 - ?,4.0,2.0,32.0,Desmond Bane,2024-25
2024-12-03,DAL,L,Fora,19.0,3.0,3.0,19.0 - ?,5.0,2.0,31.0,Desmond Bane,2024-25
2024-12-01,IND,W,Casa,16.0,6.0,6.0,16.0 - ?,8.0,2.0,30.0,Desmond Bane,2024-25
2024-11-29,NOP,W,Casa,7.0,3.0,4.0,7.0 - ?,3.0,1.0,26.0,Desmond Bane,2024-25
2024-11-27,DET,W,Casa,4.5,7.0,7.0,4.5 - ?,3.0,0.0,22.0,Desmond Bane,2024-25
2024-11-25,POR,W,Casa,8.0,7.0,2.0,8.0 - ?,4.0,1.0,24.0,Desmond Bane,2024-25
2024-11-23,CHI,W,Fora,13.0,7.0,2.0,13.0 - ?,5.0,1.0,30.0,Desmond Bane,2024-25
2024-11-20,PHI,W,Casa,21.0,10.0,6.0,21.0 - ?,11.0,5.0,35.0,Desmond Bane,2024-25
2024-11-19,DEN,L,Casa,5.0,5.0,5.0,5.0 - ?,5.0,0.0,29.0,Desmond Bane,2024-25
2024-11-17,DEN,W,Casa,11.0,11.0,7.0,11.0 - ?,7.0,1.0,29.0,Desmond Bane,2024-25
2024-11-15,GSW,L,Fora,18.0,6.0,2.0,18.0 - ?,4.0,1.0,27.0,Desmond Bane,2024-25
2024-10-30,BKN,L,Casa,10.0,6.0,0.0,10.0 - ?,2.0,1.0,20.5,Desmond Bane,2024-25
2024-10-28,CHI,L,Casa,30.0,7.0,4.0,30.0 - ?,10.0,6.0,31.0,Desmond Bane,2024-25
2024-10-26,ORL,W,Casa,13.0,7.0,2.0,13.0 - ?,6.0,2.0,28.0,Desmond Bane,2024-25
2024-10-25,HOU,L,Fora,17.0,3.0,4.0,17.0 - ?,4.0,0.0,29.0,Desmond Bane,2024-25
2024-10-23,UTA,W,Fora,24.0,4.0,4.0,24.0 - ?,10.0,4.0,27.0,Desmond Bane,2024-25
2025-02-08,OKC,L,Casa,19.0,3.0,2.0,19.0 - ?,3.0,2.0,35.0,Jaren Jackson Jr.,2024-25
2025-02-05,TOR,W,Fora,32.0,5.0,4.0,32.0 - ?,5.0,4.0,28.0,Jaren Jackson Jr.,2024-25
2025-02-03,SAS,W,Casa,31.0,6.0,3.0,31.0 - ?,9.0,3.0,31.0,Jaren Jackson Jr.,2024-25
2025-02-02,MIL,W,Fora,37.0,5.0,2.0,37.0 - ?,12.625,6.0,33.0,Jaren Jackson Jr.,2024-25
2025-01-30,HOU,W,Casa,21.0,4.0,4.0,21.0 - ?,4.0,1.0,31.0,Jaren Jackson Jr.,2024-25
2025-01-27,NYK,L,Fora,21.0,4.0,0.0,21.0 - ?,4.0,3.0,33.0,Jaren Jackson Jr.,2024-25
2025-01-25,UTA,W,Casa,28.0,3.0,2.0,28.0 - ?,4.0,2.0,30.0,Jaren Jackson Jr.,2024-25
2025-01-24,NOP,W,Casa,29.0,5.0,6.0,29.0 - ?,9.0,5.0,32.0,Jaren Jackson Jr.,2024-25
2025-01-22,CHA,W,Casa,22.0,6.0,1.0,22.0 - ?,5.0,1.0,30.0,Jaren Jackson Jr.,2024-25
2025-01-20,MIN,W,Casa,24.0,10.0,0.0,24.0 - ?,3.0,0.0,32.0,Jaren Jackson Jr.,2024-25
2025-01-17,SAS,W,Fora,19.0,2.0,4.0,19.0 - ?,8.0,3.0,26.0,Jaren Jackson Jr.,2024-25
2025-01-15,SAS,W,Fora,19.0,6.0,2.0,19.0 - ?,8.0,2.0,31.0,Jaren Jackson Jr.,2024-25
2025-01-13,HOU,L,Fora,17.0,2.0,3.0,17.0 - ?,3.0,1.0,30.0,Jaren Jackson Jr.,2024-25
2025-01-11,MIN,W,Fora,33.0,8.0,1.0,33.0 - ?,5.0,2.0,34.0,Jaren Jackson Jr.,2024-25
2025-01-09,HOU,L,Casa,21.0,8.0,4.0,21.0 - ?,4.0,1.0,34.0,Jaren Jackson Jr.,2024-25
2025-01-06,DAL,W,Casa,35.0,10.0,5.0,35.0 - ?,2.0,1.0,34.0,Jaren Jackson Jr.,2024-25
2025-01-04,GSW,L,Fora,23.0,9.0,2.0,23.0 - ?,3.0,0.0,36.0,Jaren Jackson Jr.,2024-25
2025-01-03,SAC,L,Fora,28.0,6.0,5.0,28.0 - ?,9.0,3.0,34.0,Jaren Jackson Jr.,2024-25
2024-12-31,PHX,W,Fora,38.0,10.0,4.0,38.0 - ?,9.0,4.0,38.0,Jaren Jackson Jr.,2024-25
2024-12-29,OKC,L,Fora,13.0,5.0,4.0,13.0 - ?,6.0,0.0,25.0,Jaren Jackson Jr.,2024-25
2024-12-27,NOP,W,Fora,33.0,5.0,3.0,33.0 - ?,6.0,4.0,35.0,Jaren Jackson Jr.,2024-25
2024-12-26,TOR,W,Casa,21.0,10.0,6.0,21.0 - ?,3.0,1.0,32.0,Jaren Jackson Jr.,2024-25
2024-12-23,LAC,L,Casa,24.0,6.0,3.0,24.0 - ?,7.0,1.0,30.0,Jaren Jackson Jr.,2024-25
2024-12-21,ATL,W,Fora,13.0,5.0,1.0,13.0 - ?,5.0,1.0,25.0,Jaren Jackson Jr.,2024-25
2024-12-19,GSW,W,Casa,17.0,6.0,5.0,17.0 - ?,2.0,1.0,20.875,Jaren Jackson Jr.,2024-25
2024-12-15,LAL,L,Fora,25.0,5.0,2.0,25.0 - ?,3.0,2.0,29.0,Jaren Jackson Jr.,2024-25
2024-12-13,BKN,W,Casa,20.0,7.0,2.0,20.0 - ?,6.0,3.0,32.0,Jaren Jackson Jr.,2024-25
2024-12-08,WAS,W,Fora,21.0,4.0,1.0,21.0 - ?,8.0,3.0,20.875,Jaren Jackson Jr.,2024-25
2024-12-07,BOS,W,Fora,27.0,9.0,1.0,27.0 - ?,4.0,3.0,34.0,Jaren Jackson Jr.,2024-25
2024-12-05,SAC,W,Casa,15.0,2.0,2.0,15.0 - ?,1.0,0.0,25.0,Jaren Jackson Jr.,2024-25
2024-12-03,DAL,L,Fora,16.0,7.0,2.0,16.0 - ?,7.0,2.0,29.0,Jaren Jackson Jr.,2024-25
2024-12-01,IND,W,Casa,25.0,8.0,0.0,25.0 - ?,6.0,3.0,29.0,Jaren Jackson Jr.,2024-25
2024-11-29,NOP,W,Casa,23.0,8.0,1.0,23.0 - ?,5.0,0.0,28.0,Jaren Jackson Jr.,2024-25
2024-11-27,DET,W,Casa,12.0,6.0,2.0,12.0 - ?,7.0,0.0,22.0,Jaren Jackson Jr.,2024-25
2024-11-25,POR,W,Casa,21.0,6.0,1.0,21.0 - ?,2.0,2.0,28.0,Jaren Jackson Jr.,2024-25
2024-11-23,CHI,W,Fora,23.0,4.0,4.0,23.0 - ?,7.0,3.0,26.0,Jaren Jackson Jr.,2024-25
2024-11-20,PHI,W,Casa,25.0,4.0,1.0,25.0 - ?,5.0,2.0,30.0,Jaren Jackson Jr.,2024-25
2024-11-19,DEN,L,Casa,19.0,8.0,1.0,19.0 - ?,8.0,2.0,29.0,Jaren Jackson Jr.,2024-25
2024-11-17,DEN,W,Casa,20.0,6.0,2.0,20.0 - ?,5.0,2.0,31.0,Jaren Jackson Jr.,2024-25
2024-11-15,GSW,L,Fora,32.0,6.0,1.0,32.0 - ?,4.0,0.0,33.0,Jaren Jackson Jr.,2024-25
2024-11-13,LAL,L,Fora,29.0,7.0,1.0,29.0 - ?,7.0,2.0,33.0,Jaren Jackson Jr.,2024-25
2024-11-10,POR,W,Fora,20.0,7.0,2.0,20.0 - ?,7.0,3.0,24.0,Jaren Jackson Jr.,2024-25
2024-11-08,WAS,W,Casa,39.0,6.0,1.0,39.0 - ?,12.0,5.0,28.0,Jaren Jackson Jr.,2024-25
2024-11-06,LAL,W,Casa,20.0,6.0,1.0,20.0 - ?,4.0,1.0,32.0,Jaren Jackson Jr.,2024-25
2024-11-04,BKN,L,Fora,15.0,5.0,1.0,15.0 - ?,5.0,3.0,32.0,Jaren Jackson Jr.,2024-25
2024-11-02,PHI,W,Fora,27.0,6.0,0.0,27.0 - ?,3.0,2.0,31.0,Jaren Jackson Jr.,2024-25
2024-10-31,MIL,W,Casa,13.0,5.0,2.0,13.0 - ?,4.0,0.0,26.0,Jaren Jackson Jr.,2024-25
2024-10-30,BKN,L,Casa,30.0,4.0,0.0,30.0 - ?,3.0,3.0,28.0,Jaren Jackson Jr.,2024-25
2024-10-28,CHI,L,Casa,19.0,6.0,1.0,19.0 - ?,4.0,1.0,24.0,Jaren Jackson Jr.,2024-25
2024-10-26,ORL,W,Casa,13.0,4.0,1.0,13.0 - ?,2.0,0.0,23.0,Jaren Jackson Jr.,2024-25
2025-02-08,OKC,L,Casa,16.0,5.0,7.0,16.0 - ?,4.0,2.0,36.0,Ja Morant,2024-25
2025-02-05,TOR,W,Fora,26.0,5.0,4.0,26.0 - ?,7.0,3.0,25.0,Ja Morant,2024-25
2025-02-03,SAS,W,Casa,25.0,3.0,11.0,25.0 - ?,6.0,4.0,29.0,Ja Morant,2024-25
2025-01-27,NYK,L,Fora,10.0,5.0,2.0,10.0 - ?,1.0,0.0,27.0,Ja Morant,2024-25
2025-01-25,UTA,W,Casa,11.0,1.0,7.0,11.0 - ?,6.0,2.0,26.0,Ja Morant,2024-25
2025-01-22,CHA,W,Casa,16.0,4.0,13.0,16.0 - ?,5.0,2.0,32.0,Ja Morant,2024-25
2025-01-20,MIN,W,Casa,19.0,4.0,7.0,19.0 - ?,4.0,0.0,30.0,Ja Morant,2024-25
2025-01-15,SAS,W,Fora,21.0,4.0,12.0,21.0 - ?,2.0,1.0,31.0,Ja Morant,2024-25
2025-01-13,HOU,L,Fora,29.0,3.0,4.0,29.0 - ?,9.75,4.0,37.0,Ja Morant,2024-25
2025-01-11,MIN,W,Fora,12.0,5.0,4.0,12.0 - ?,4.0,0.0,30.0,Ja Morant,2024-25
2025-01-09,HOU,L,Casa,27.0,3.0,3.0,27.0 - ?,5.0,1.0,29.0,Ja Morant,2024-25
2024-12-27,NOP,W,Fora,25.0,2.0,7.0,25.0 - ?,4.0,3.0,25.0,Ja Morant,2024-25
2024-12-26,TOR,W,Casa,15.0,2.0,9.0,15.0 - ?,3.0,1.0,24.0,Ja Morant,2024-25
2024-12-23,LAC,L,Casa,23.0,6.0,4.0,23.0 - ?,8.0,2.0,29.0,Ja Morant,2024-25
2024-12-19,GSW,W,Casa,9.0,3.0,3.0,9.0 - ?,5.0,1.0,17.25,Ja Morant,2024-25
2024-12-15,LAL,L,Fora,20.0,7.0,6.0,20.0 - ?,7.0,2.0,31.0,Ja Morant,2024-25
2024-12-13,BKN,W,Casa,28.0,7.0,10.0,28.0 - ?,6.0,3.0,32.0,Ja Morant,2024-25
2024-12-07,BOS,W,Fora,32.0,8.75,9.0,32.0 - ?,6.0,4.0,34.0,Ja Morant,2024-25
2024-12-05,SAC,W,Casa,8.0,3.0,7.0,8.0 - ?,6.0,0.0,28.0,Ja Morant,2024-25
2024-12-03,DAL,L,Fora,31.0,2.0,4.0,31.0 - ?,6.0,3.0,31.0,Ja Morant,2024-25
2024-12-01,IND,W,Casa,19.0,2.0,8.0,19.0 - ?,7.0,2.0,27.0,Ja Morant,2024-25
2024-11-29,NOP,W,Casa,27.0,3.0,7.0,27.0 - ?,4.0,0.0,29.0,Ja Morant,2024-25
2024-11-25,POR,W,Casa,22.0,2.0,11.0,22.0 - ?,3.0,2.0,23.0,Ja Morant,2024-25
2024-11-06,LAL,W,Casa,20.0,4.0,5.0,20.0 - ?,3.0,2.0,24.0,Ja Morant,2024-25
2024-11-04,BKN,L,Fora,25.0,5.0,9.0,25.0 - ?,3.0,1.0,33.0,Ja Morant,2024-25
2024-11-02,PHI,W,Fora,18.0,6.0,12.0,18.0 - ?,2.0,0.0,31.0,Ja Morant,2024-25
2024-10-31,MIL,W,Casa,26.0,8.75,14.0,26.0 - ?,5.0,2.0,29.0,Ja Morant,2024-25
2024-10-30,BKN,L,Casa,14.0,8.0,11.0,14.0 - ?,6.0,1.0,29.0,Ja Morant,2024-25
2024-10-26,ORL,W,Casa,16.0,2.0,10.0,16.0 - ?,6.0,0.0,25.0,Ja Morant,2024-25
2024-10-25,HOU,L,Fora,24.0,0.0,2.0,24.0 - ?,4.0,2.0,24.0,Ja Morant,2024-25
2024-10-23,UTA,W,Fora,22.0,5.0,10.0,22.0 - ?,2.0,0.0,28.0,Ja Morant,2024-25
